Query Time,Frame Start Time,Frame End Time,Image Acquisition Time,Blank1,L1 Rad Created,L1 Rad Available,L1 Availablity Time,Blank2,L2 ABI-L2-MCMIPC Created,L2 ABI-L2-MCMIPC Available,L2 ABI-L2-FDCC Created,L2 ABI-L2-FDCC Available,L2 ABI-L2-ACMC Created,L2 ABI-L2-ACMC Available,L1 Rad Downloaded,L2 ABI-L2-FDCC Downloaded,Total Time
2022-08-01 12:35:28.622728+00:00,2022-08-01 12:36:17.300000+00:00,2022-08-01 12:38:55.049999872+00:00,157,,2022-08-01 12:39:00.600000+00:00,2022-08-01 12:39:18.253464+00:00,23,,2022-08-01 12:39:05.100000+00:00,2022-08-01 12:39:21.918151+00:00,2022-08-01 12:39:20.500000+00:00,2022-08-01 12:39:37.640420+00:00,2022-08-01 12:40:13.800000+00:00,2022-08-01 12:40:24.271862+00:00,2022-08-01 12:40:26.765688+00:00,2022-08-01 12:40:27.630600+00:00,92
2022-08-01 12:40:27.637222+00:00,2022-08-01 12:41:17.300000+00:00,2022-08-01 12:43:55.049999872+00:00,157,,2022-08-01 12:44:00.600000+00:00,2022-08-01 12:44:20.277320+00:00,25,,2022-08-01 12:44:05+00:00,2022-08-01 12:44:22.735761+00:00,2022-08-01 12:44:18.300000+00:00,2022-08-01 12:44:38.406979+00:00,2022-08-01 12:45:05.500000+00:00,2022-08-01 12:45:22.684055+00:00,2022-08-01 12:45:25.015518+00:00,2022-08-01 12:45:25.713467+00:00,90
2022-08-01 12:45:25.721081+00:00,2022-08-01 12:46:17.300000+00:00,2022-08-01 12:48:55.049999872+00:00,157,,2022-08-01 12:48:59.900000+00:00,2022-08-01 12:49:28.605657+00:00,33,,2022-08-01 12:49:04.700000+00:00,2022-08-01 12:49:35.799895+00:00,2022-08-01 12:49:17.400000+00:00,2022-08-01 12:49:32.365621+00:00,2022-08-01 12:50:04.100000+00:00,2022-08-01 12:50:20.061453+00:00,2022-08-01 12:50:22.432965+00:00,2022-08-01 12:50:23.126667+00:00,88
2022-08-01 12:50:23.134343+00:00,2022-08-01 12:51:17.300000+00:00,2022-08-01 12:53:55.056250112+00:00,157,,2022-08-01 12:54:01.400000+00:00,2022-08-01 12:54:32.852129+00:00,37,,2022-08-01 12:54:04.900000+00:00,2022-08-01 12:54:36.531249+00:00,2022-08-01 12:54:19.500000+00:00,2022-08-01 12:54:35.461619+00:00,2022-08-01 12:55:12.500000+00:00,2022-08-01 12:55:18.687740+00:00,2022-08-01 12:55:21.358260+00:00,2022-08-01 12:55:22.059845+00:00,87
2022-08-01 12:55:22.068296+00:00,2022-08-01 12:56:17.300000+00:00,2022-08-01 12:58:55.049999872+00:00,157,,2022-08-01 12:59:02.400000+00:00,2022-08-01 12:59:16.863340+00:00,21,,2022-08-01 12:59:05.500000+00:00,2022-08-01 12:59:37.821366+00:00,2022-08-01 12:59:17.300000+00:00,2022-08-01 12:59:36.658730+00:00,2022-08-01 13:00:06+00:00,2022-08-01 13:00:25.402419+00:00,2022-08-01 13:00:28.271620+00:00,2022-08-01 13:00:29.068575+00:00,94
2022-08-01 13:04:18.993136+00:00,2022-08-01 13:06:17.300000+00:00,2022-08-01 13:08:55.049999872+00:00,157,,2022-08-01 13:09:02+00:00,2022-08-01 13:09:27.625181+00:00,32,,2022-08-01 13:09:05.500000+00:00,2022-08-01 13:09:27.690309+00:00,2022-08-01 13:09:19.400000+00:00,2022-08-01 13:09:27.810879+00:00,2022-08-01 13:10:14.200000+00:00,2022-08-01 13:10:30.515279+00:00,2022-08-01 13:10:32.913969+00:00,2022-08-01 13:10:33.628509+00:00,98
2022-08-01 13:10:33.636375+00:00,2022-08-01 13:11:17.300000+00:00,2022-08-01 13:13:55.056250112+00:00,157,,2022-08-01 13:14:01.500000+00:00,2022-08-01 13:14:27.114613+00:00,32,,2022-08-01 13:14:06.900000+00:00,2022-08-01 13:14:33.326523+00:00,2022-08-01 13:14:18.600000+00:00,2022-08-01 13:14:28.519363+00:00,2022-08-01 13:15:09.200000+00:00,2022-08-01 13:15:27.336508+00:00,2022-08-01 13:15:29.761127+00:00,2022-08-01 13:15:30.480075+00:00,95
2022-08-01 13:15:30.488322+00:00,2022-08-01 13:16:17.300000+00:00,2022-08-01 13:18:55.049999872+00:00,157,,2022-08-01 13:19:00.900000+00:00,2022-08-01 13:19:24.900082+00:00,29,,2022-08-01 13:19:05+00:00,2022-08-01 13:19:28.560977+00:00,2022-08-01 13:19:17.600000+00:00,2022-08-01 13:19:27.478039+00:00,2022-08-01 13:20:15.400000+00:00,2022-08-01 13:20:28.777875+00:00,2022-08-01 13:20:31.249988+00:00,2022-08-01 13:20:31.971564+00:00,96
2022-08-01 13:20:31.979663+00:00,2022-08-01 13:21:17.300000+00:00,2022-08-01 13:23:55.049999872+00:00,157,,2022-08-01 13:24:01.100000+00:00,2022-08-01 13:24:31.929318+00:00,36,,2022-08-01 13:24:09.500000+00:00,2022-08-01 13:24:31.995551+00:00,2022-08-01 13:24:23.900000+00:00,2022-08-01 13:24:32.126973+00:00,2022-08-01 13:25:16.500000+00:00,2022-08-01 13:25:30.737728+00:00,2022-08-01 13:25:33.254242+00:00,2022-08-01 13:25:34.059008+00:00,99
2022-08-01 13:25:34.066620+00:00,2022-08-01 13:26:17.300000+00:00,2022-08-01 13:28:55.049999872+00:00,157,,2022-08-01 13:29:01.100000+00:00,2022-08-01 13:29:31.680677+00:00,36,,2022-08-01 13:29:06+00:00,2022-08-01 13:29:31.750399+00:00,2022-08-01 13:29:17.800000+00:00,2022-08-01 13:29:31.880688+00:00,2022-08-01 13:30:13.100000+00:00,2022-08-01 13:30:34.102360+00:00,2022-08-01 13:30:36.570731+00:00,2022-08-01 13:30:37.441913+00:00,102
